lat,lon,dem,imerg,obs,cluster_id,cluster_name
26.5,111.4,138.64320000034354,0.0,0.0,3,SW
26.5,111.65,120.2818005679452,0.0,0.10843896865844727,3,SW
26.5,111.9,286.5669773107703,0.0,0.6543034315109253,3,SW
26.5,112.15,85.9543687218502,0.0,0.8990551233291626,3,SW
26.5,112.4,100.25120915648111,0.0,0.6217547655105591,3,SW
26.5,112.65,91.49782803557746,0.0,0.4060617685317993,3,SW
26.5,112.9,123.03082860494615,0.0,0.0,3,SW
26.5,113.15,172.28640000068708,0.0,0.0,3,SW
26.5,113.4,210.23616928996765,0.0,0.3544480800628662,3,SW
26.5,113.65,474.8686635260097,0.0,1.7201836109161377,3,SW
26.5,113.9,512.0266760933262,0.20500001311302185,2.1923534870147705,3,SW
26.75,109.4,478.9502253645867,1.334999918937683,3.3986079692840576,0,NW
26.75,109.65,472.3376442418768,0.0,1.3237102031707764,0,NW
26.75,109.9,318.6385914119682,0.0,2.6102468967437744,0,NW
26.75,110.15,670.1099622382123,0.5999999642372131,2.1625263690948486,0,NW
26.75,110.4,547.3876194486936,0.0,2.2593607902526855,0,NW
26.75,110.65,338.2160000015898,0.0,0.0,0,NW
26.75,110.9,412.9897967593043,0.0,0.09695625305175781,0,NW
26.75,111.15,489.1970631265485,0.0,0.2876896858215332,3,SW
26.75,111.4,335.0650150734989,0.0,0.0,3,SW
26.75,111.65,146.4771935163109,0.0,0.23891639709472656,3,SW
26.75,111.9,155.29660324136762,0.0,0.6189260482788086,3,SW
26.75,112.15,139.83297082978072,0.0,1.114403486251831,3,SW
26.75,112.4,128.522587601204,0.0,0.36721229553222656,3,SW
26.75,112.65,60.0,0.0,0.3888394832611084,1,NE
26.75,112.9,127.48154660020948,0.0,0.0,3,SW
26.75,113.15,98.29660324141877,0.0,0.0,3,SW
26.75,113.4,160.79879351636757,0.0,0.7562499046325684,3,SW
26.75,113.65,633.4281860639663,0.0,1.4045562744140625,3,SW
27.0,109.65,526.2614215527275,0.0,3.786703586578369,0,NW
27.0,109.9,185.36698492945447,0.0,2.5112454891204834,0,NW
27.0,110.15,876.3111778771498,0.0,2.355619430541992,0,NW
27.0,110.4,471.9781239126106,0.0,2.905333995819092,0,NW
27.0,110.65,300.356553650974,0.0,1.978198766708374,0,NW
27.0,110.9,360.2160183124231,0.0,2.498356819152832,0,NW
27.0,111.15,227.46699027559654,0.0,0.3466763496398926,3,SW
27.0,111.4,261.2364156384483,0.0,0.4163167476654053,3,SW
27.0,111.65,266.9351946535934,0.0,0.5513033866882324,3,SW
27.0,111.9,318.20679198076584,0.0,0.508439302444458,3,SW
27.0,112.15,106.59927552192065,0.0,1.2003082036972046,1,NE
27.0,112.4,82.95000648246496,0.0,0.9184664487838745,1,NE
27.0,112.65,56.18058111949702,0.0,0.0,1,NE
27.0,112.9,156.9943870362789,0.0,0.1905210018157959,1,NE
27.0,113.15,88.8793692902921,0.0,0.3553464412689209,1,NE
27.0,113.4,426.28661888305817,0.0,0.42960500717163086,3,SW
27.0,113.65,175.35679999969938,0.0,1.13458251953125,1,NE
27.25,108.9,617.0420270637975,0.0,0.38735008239746094,0,NW
27.25,109.15,745.8806108576172,0.0,2.128112316131592,0,NW
27.25,109.4,450.1953746379021,0.0,0.9673657417297363,0,NW
27.25,109.65,275.33057082815196,0.0,2.0881223678588867,0,NW
27.25,109.9,530.1420049444661,2.5249998569488525,2.1720547676086426,0,NW
27.25,110.15,807.869403242486,0.0,2.3578202724456787,0,NW
27.25,110.4,841.6349315964825,8.829999923706055,3.059680223464966,0,NW
27.25,110.65,381.3422436748421,0.0,3.092855453491211,0,NW
27.25,110.9,445.0293589983993,0.0,0.0,0,NW
27.25,111.15,301.82378111987816,0.0,0.4589977264404297,0,NW
27.25,111.4,251.98083508710607,0.0,0.2494664192199707,1,NE
27.25,111.65,246.47718436095337,0.0,0.0,1,NE
27.25,111.9,250.2157811191472,0.0,0.7038488388061523,1,NE
27.25,112.15,172.3082760887386,0.0,0.8210203647613525,1,NE
27.25,112.4,168.76505396808565,0.0,0.2848520278930664,1,NE
27.25,112.65,104.62863452016619,0.0,0.14960432052612305,1,NE
27.25,112.9,91.11142268949278,0.0,0.22934246063232422,1,NE
27.25,113.15,243.13104367757953,0.0,0.6907479763031006,1,NE
27.25,113.4,106.90461239751636,0.0,0.6316955089569092,1,NE
27.25,113.65,282.00459943242606,0.8100000619888306,0.8968410491943359,1,NE
27.5,109.4,842.7992404363756,0.0,2.751455545425415,0,NW
27.5,109.65,267.6783999998666,0.0,2.7503457069396973,0,NW
27.5,109.9,369.9410448099171,0.06499999761581421,2.732832193374634,0,NW
27.5,110.15,297.1261978957098,0.0,2.682337522506714,0,NW
27.5,110.4,1042.3919725326243,11.789999961853027,2.368558883666992,0,NW
27.5,110.65,1362.0191740688012,1.549999713897705,3.2862582206726074,0,NW
27.5,110.9,677.4077978926242,0.0,0.7095074653625488,0,NW
27.5,111.15,525.7444377596098,0.0,0.844390869140625,0,NW
27.5,111.4,401.8475729318575,0.0,0.6696248054504395,0,NW
27.5,111.65,1256.597787604331,0.0,0.19862627983093262,0,NW
27.5,111.9,199.53760000146744,0.0,0.5263757705688477,1,NE
27.5,112.15,170.61819408603424,0.0,1.5192095041275024,1,NE
27.5,112.4,103.30120267391699,0.0,0.9470615386962891,1,NE
27.5,112.65,95.41698760261325,0.0,0.7020988464355469,1,NE
27.5,112.9,108.98979675911484,0.0,0.5429027080535889,1,NE
27.5,113.15,206.13955842917736,0.0,0.44202470779418945,1,NE
27.5,113.4,71.86917520482628,0.0,0.6664667129516602,1,NE
27.75,109.4,308.2745357392907,0.0,1.0036020278930664,0,NW
27.75,109.65,168.70339675868354,0.0,2.707831859588623,0,NW
27.75,109.9,304.1364194476575,0.0,2.6655616760253906,0,NW
27.75,110.15,688.2468286055864,0.3100000023841858,2.6152544021606445,0,NW
27.75,110.4,442.9101978943426,13.774999618530273,2.518256664276123,0,NW
27.75,110.65,807.65342155235,6.710000038146973,2.8434817790985107,0,NW
27.75,110.9,567.3657433608017,0.38999998569488525,0.7545409202575684,0,NW
27.75,111.15,166.36723127817785,0.0,0.8169198036193848,1,NE
27.75,111.4,482.4376129663147,0.30000001192092896,0.5961077213287354,0,NW
27.75,111.65,149.73859675827055,0.0,0.6263854503631592,1,NE
27.75,111.9,103.67839999987939,0.0,0.877833366394043,1,NE
27.75,112.15,340.9701666156863,0.0,0.9831361770629883,1,NE
27.75,112.4,77.70339675861722,0.0,2.4526307582855225,1,NE
27.75,112.65,63.36699408519297,0.0,2.860492467880249,1,NE
27.75,112.9,43.47282212165964,0.0,3.1670494079589844,1,NE
27.75,113.15,71.43762212202147,0.0,2.511462926864624,1,NE
27.75,113.4,152.55800648319936,0.0,2.621114730834961,1,NE
28.0,109.4,418.9145509780504,0.0,1.325376033782959,0,NW
28.0,109.65,332.7781681533106,0.0,1.1574959754943848,0,NW
28.0,109.9,197.23180705011538,0.0,0.0,0,NW
28.0,110.15,196.97937463650317,1.5749998092651367,2.4039437770843506,0,NW
28.0,110.4,382.59881029076024,1.4449999332427979,2.1434967517852783,0,NW
28.0,110.65,268.28640915613107,25.314998626708984,2.3249759674072266,0,NW
28.0,110.9,567.8454200146423,8.6899995803833,3.1732568740844727,0,NW
28.0,111.15,223.8385837932739,8.024999618530273,1.1043624877929688,1,NE
28.0,111.4,491.66382536390887,8.749999046325684,0.6105420589447021,0,NW
28.0,111.65,707.748781687985,0.0,0.6314120292663574,0,NW
28.0,111.9,260.34223451941267,1.0049999952316284,1.362015962600708,1,NE
28.0,112.15,116.67839999988806,0.0,1.2544746398925781,1,NE
28.0,112.4,107.4728221215745,0.0,2.918816566467285,1,NE
28.0,112.65,72.40679351716247,0.0,3.5316083431243896,1,NE
28.0,112.9,67.37744367474549,0.0,3.847856044769287,1,NE
28.0,113.15,85.67380056758886,0.0,3.059515953063965,1,NE
28.0,113.4,349.3526657979835,0.125,2.447348117828369,1,NE
28.0,113.65,95.52281563905723,0.07499999552965164,2.3157782554626465,1,NE
28.25,109.4,860.693202673623,0.8100000619888306,1.8171095848083496,0,NW
28.25,109.65,317.6271740694684,0.0,0.46262359619140625,0,NW
28.25,109.9,271.25220437618765,0.0,0.20646429061889648,0,NW
28.25,110.15,174.31575899883558,0.0,0.23470258712768555,0,NW
28.25,110.4,442.00584100127224,0.0,0.0,0,NW
28.25,110.65,445.9041288556291,0.5049999952316284,0.47470808029174805,0,NW
28.25,110.9,194.35264748626588,4.2099995613098145,0.8481876850128174,1,NE
28.25,111.15,899.5834776279266,2.544999837875366,0.9772393703460693,0,NW
28.25,111.4,502.98521563783356,6.494999885559082,0.7678976058959961,0,NW
28.25,111.65,393.99104748369126,0.3700000047683716,0.39806413650512695,1,NE
28.25,111.9,326.6796415688823,1.9250001907348633,1.1111650466918945,1,NE
28.25,112.15,113.91480648287339,2.069999933242798,2.9366700649261475,1,NE
28.25,112.4,94.89440915658783,0.3349999785423279,3.1375207901000977,1,NE
28.25,112.65,107.45217844668674,0.3349999785423279,3.346230983734131,1,NE
28.25,112.9,29.307043675420765,0.0,3.236636161804199,1,NE
28.25,113.15,43.20121563894651,1.340000033378601,2.8390073776245117,1,NE
28.25,113.4,117.46262803625861,0.7849999666213989,2.8550972938537598,1,NE
28.25,113.65,107.88981887982615,0.3099999725818634,2.5240137577056885,1,NE
28.25,113.9,274.27285720787563,0.0,2.240506649017334,1,NE
28.5,109.15,431.04786806533565,0.14499999582767487,2.672679901123047,0,NW
