date,year,month,day,rf_bias_daily,imerg_bias_daily,n_samples_rf,n_samples_imerg
2021-08-27,2021,8,27,1.0967630980118783,-2.3161363091226956,321,321
2021-08-28,2021,8,28,0.6763002369604378,-0.31846149142460195,321,321
2021-08-29,2021,8,29,0.3638813103678813,-0.6974490390353578,321,321
2021-08-30,2021,8,30,0.9564294377034326,0.024696562915019156,321,321
2021-08-31,2021,8,31,0.08148816143203746,-0.6632895967444388,321,321
2022-06-01,2022,6,1,0.9752207179407466,9.282374148683571,321,321
2022-06-02,2022,6,2,1.3103314627015332,11.838827837583525,321,321
2022-06-03,2022,6,3,-9.069370536267199,-3.7579059832006974,321,321
2022-06-04,2022,6,4,1.0118403368694389,3.4244222503584867,321,321
2022-06-05,2022,6,5,-11.848762141328178,-13.064769502000948,321,321
2022-06-06,2022,6,6,-0.6080982438127198,-4.281085784605057,321,321
2022-06-07,2022,6,7,0.24018352648866514,-1.2724769745555902,321,321
2022-06-08,2022,6,8,0.48724979036953586,-0.07370991352365303,321,321
2022-06-09,2022,6,9,1.470186047457089,3.788094943998573,321,321
2022-06-10,2022,6,10,3.9858835543150843,3.7001803466220418,321,321
2022-06-11,2022,6,11,2.9077647627172443,1.1949906244183488,321,321
2022-06-12,2022,6,12,1.9200208414373368,-0.4701346343272943,321,321
2022-06-13,2022,6,13,-3.891642416184751,-5.888473378233264,321,321
2022-06-14,2022,6,14,-0.12757505834882504,-0.5613374483577234,321,321
2022-06-15,2022,6,15,-0.4039112034725994,1.7564976628045799,321,321
2022-06-16,2022,6,16,1.625071584310487,10.531120448129547,321,321
2022-06-17,2022,6,17,-0.8371023489112424,1.0239877864672016,321,321
2022-06-18,2022,6,18,4.476571723747105,13.367031782816202,321,321
2022-06-19,2022,6,19,-4.87327225392277,-0.381774250777711,321,321
2022-06-20,2022,6,20,-4.146176239469712,-0.16636083151193515,321,321
2022-06-21,2022,6,21,-11.046855262565465,-11.377229397971403,321,321
2022-06-22,2022,6,22,-0.377967125023637,-1.2256330633303876,321,321
2022-06-23,2022,6,23,3.2744398591386568,5.150658866518244,321,321
2022-06-24,2022,6,24,-0.7016755897850264,-1.4594796321578207,321,321
2022-06-25,2022,6,25,0.7313191335561492,-0.013178173249523587,321,321
2022-06-26,2022,6,26,0.4936150816326201,0.2362152465308706,321,321
2022-06-27,2022,6,27,1.4152384928357191,4.818284807117465,321,321
2022-06-28,2022,6,28,0.2798714052691269,-0.5171314768139215,321,321
2022-06-29,2022,6,29,0.2816139683636178,-0.9159098579243661,321,321
2022-06-30,2022,6,30,1.7507181983636546,0.7554244090747843,321,321
2022-07-01,2022,7,1,-0.5125793829742251,0.2777046802282519,321,321
2022-07-02,2022,7,2,6.97518756160465,9.846065762908287,321,321
2022-07-03,2022,7,3,17.19901933067573,15.160317332388084,321,321
2022-07-04,2022,7,4,-4.876942243433259,-9.329681871563336,321,321
2022-07-05,2022,7,5,0.49770152820530705,-1.792812016717161,321,321
2022-07-06,2022,7,6,-8.649354480165188,-9.39704192491579,321,321
2022-07-07,2022,7,7,-2.026709674120692,-5.49859208190332,321,321
2022-07-08,2022,7,8,3.7296145615978777,0.01523517216976465,321,321
2022-07-09,2022,7,9,1.1311428215901056,-0.44003672048310255,321,321
2022-07-10,2022,7,10,0.623290283371355,-0.15454686173118906,321,321
2022-07-11,2022,7,11,0.2505473279258544,-0.33360084580298155,321,321
2022-07-12,2022,7,12,0.1863899474652757,-0.4033178882180159,321,321
2022-07-13,2022,7,13,0.3643622563059828,-0.14610022608759432,321,321
2022-07-14,2022,7,14,0.46813285138302496,-0.17194004101545268,321,321
2022-07-15,2022,7,15,0.44563167784240015,-0.23497937520461104,321,321
2022-07-16,2022,7,16,0.7160435218593785,1.1209329251385645,321,321
2022-07-17,2022,7,17,4.757359751446596,8.648192559426935,321,321
2022-07-18,2022,7,18,3.1871488023587844,-2.946858097465471,321,321
2022-07-19,2022,7,19,8.605896561189976,1.1785219875062785,321,321
2022-07-20,2022,7,20,1.721519551490326,0.3756753078450063,321,321
2022-07-21,2022,7,21,1.142488556825112,-0.7054092634579521,321,321
2022-07-22,2022,7,22,0.8172758075541052,0.663225649957577,321,321
2022-07-23,2022,7,23,-0.0751853293679956,-1.4751125812397057,321,321
2022-07-24,2022,7,24,0.7448141726370541,0.435204724697077,321,321
2022-07-25,2022,7,25,0.6799767330483856,-0.243204411397749,321,321
2022-07-26,2022,7,26,0.4833246196749798,-0.10124198500809732,321,321
2022-07-27,2022,7,27,-0.3880906503846712,2.4123893366296807,321,321
2022-07-28,2022,7,28,2.971503131472805,3.5083986577749067,321,321
2022-07-29,2022,7,29,-1.381066368196055,-3.2267418937188954,321,321
2022-07-30,2022,7,30,0.20313519571429103,-0.5174611125872514,321,321
2022-07-31,2022,7,31,0.48499963952466335,-0.2403764986372161,321,321
2022-08-01,2022,8,1,1.0047238880206493,0.09352729883845722,321,321
2022-08-02,2022,8,2,0.4522265470811512,-0.8602588209309079,321,321
2022-08-03,2022,8,3,2.573412688167667,1.7316426700735437,321,321
2022-08-04,2022,8,4,4.088453286622357,2.599533868959388,321,321
2022-08-05,2022,8,5,2.5600824287455777,-1.133277705963411,321,321
2022-08-06,2022,8,6,1.2073513361442128,-0.41153883831894655,321,321
2022-08-07,2022,8,7,0.5778438581844728,-0.24288820750094556,321,321
2022-08-08,2022,8,8,-0.10448012399673466,-0.8419671719748747,321,321
2022-08-09,2022,8,9,0.4286369588194977,-0.03123427282821538,321,321
2022-08-10,2022,8,10,1.6085938562106492,-0.2581903171026354,321,321
2022-08-11,2022,8,11,1.198627560417043,-0.4372091534724488,321,321
2022-08-12,2022,8,12,0.10242072658226868,-0.5419917111531642,321,321
2022-08-13,2022,8,13,0.438174312822544,-0.34886354356539956,321,321
2022-08-14,2022,8,14,0.4480515260874668,-0.445065760152339,321,321
2022-08-15,2022,8,15,0.9335533004442108,-0.20616657480110076,321,321
2022-08-16,2022,8,16,0.44338424510042246,-0.5102199206064888,321,321
2022-08-17,2022,8,17,2.0549154539691323,0.03768247535388418,321,321
2022-08-18,2022,8,18,0.7853433916876992,-0.13744712336644577,321,321
2022-08-19,2022,8,19,0.8898503745188965,-0.27917678807383384,321,321
2022-08-20,2022,8,20,0.5825073403097758,-0.43422401668300786,321,321
2022-08-21,2022,8,21,0.5192471316826306,-0.19660894841976997,321,321
2022-08-22,2022,8,22,0.6571298439246471,-0.24920820705070396,321,321
2022-08-23,2022,8,23,1.7671437259518838,0.3337059320208857,321,321
2022-08-24,2022,8,24,2.9959562134384368,0.017033975670038726,321,321
2022-08-25,2022,8,25,4.323741709892623,1.0358609725573213,321,321
2022-08-26,2022,8,26,0.9547656405311877,-0.6484107648506993,321,321
2022-08-27,2022,8,27,1.1651146999545556,-0.3159320409325564,321,321
2022-08-28,2022,8,28,1.6695559025232296,-0.7227125639455666,321,321
2022-08-29,2022,8,29,2.242497290527709,-0.27999192258093586,321,321
2022-08-30,2022,8,30,3.101096986458866,0.11156416100063984,321,321
2022-08-31,2022,8,31,2.4070158794178766,-0.4101474896288039,321,321
